City,Country,Date,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
anadyr,RU,1586627333,1.4,84,20,13.42,64.75,177.48
matola,MZ,1586627841,77.0,78,20,12.75,-25.96,32.46
mayo,US,1586627842,59.0,32,20,12.75,38.89,-76.51
vredendal,ZA,1586627842,62.02,91,9,4.74,-31.67,18.5
santiago de cao,PE,1586627842,71.6,83,20,12.75,-7.96,-79.24
teluknaga,ID,1586627843,81.0,78,40,4.7,-6.1,106.64
malanje,AO,1586627843,68.09,68,86,1.34,-9.54,16.34
anajatuba,BR,1586627353,87.15,72,65,4.07,-3.26,-44.62
jalu,LY,1586627844,67.12,26,49,8.81,29.03,21.55
saravan,AM,1586627844,50.0,76,75,4.7,39.72,45.65
nishihara,JP,1586627844,69.8,88,90,6.93,26.18,127.76
upata,VE,1586627845,96.28,21,95,9.66,8.01,-62.4
andahuaylas,PE,1586627845,68.54,18,16,4.79,-13.66,-73.39
yar-sale,RU,1586627328,19.8,95,70,11.48,66.83,70.83
howard springs,AU,1586627846,79.0,83,75,6.93,-12.5,131.05
kaeo,NZ,1586627846,55.0,93,27,9.26,-35.1,173.78
cap malheureux,MU,1586627361,78.01,73,75,13.87,-19.98,57.61
port lincoln,AU,1586627846,55.89,66,59,9.35,-34.73,135.87
belaya gora,RU,1586627322,21.78,93,97,10.56,68.53,146.42
kautokeino,NO,1586627847,19.06,90,97,4.36,69.01,23.04
bahia honda,CU,1586627848,87.8,52,0,7.29,22.9,-83.16
nerchinskiy zavod,RU,1586627848,39.52,47,0,1.79,51.31,119.61
viedma,AR,1586627849,65.86,55,100,19.82,-40.81,-63.0
oranjemund,NA,1586627849,61.11,87,6,4.03,-28.55,16.43
saint-louis,SN,1586627849,111.2,11,22,9.06,16.33,-15.0
russell,US,1586627659,71.01,34,1,3.36,32.35,-85.2
camacha,PT,1586627850,64.4,72,40,16.11,33.08,-16.33
opuwo,NA,1586627850,77.5,36,41,6.67,-18.06,13.84
bac lieu,VN,1586627850,80.33,76,27,7.49,9.29,105.72
meulaboh,ID,1586627298,80.82,79,40,2.1,4.14,96.13
linxia,CN,1586627851,41.7,25,0,1.1,35.6,103.21
sept-iles,CA,1586627648,41.0,38,75,17.22,50.2,-66.38
balikpapan,ID,1586627852,75.6,88,92,3.09,-1.27,116.83
kilindoni,TZ,1586627852,83.25,79,100,20.76,-7.91,39.67
moerai,PF,1586627852,81.28,84,98,3.04,-22.43,-151.33
george town,MY,1586627853,84.2,88,20,4.7,5.41,100.34
southbridge,US,1586627853,51.01,33,75,25.28,42.08,-72.03
ejido,VE,1586627853,76.93,46,100,0.74,8.55,-71.24
doha,QA,1586627359,89.6,54,100,3.36,25.29,51.53
mackenzie,CA,1586627854,26.6,53,1,2.1,55.3,-123.17
nicoya,CR,1586627854,96.8,39,96,10.29,10.15,-85.45
bilibino,RU,1586627855,4.17,89,97,1.34,68.05,166.44
apango,MX,1586627855,93.0,17,4,5.99,17.73,-99.33
kamaishi,JP,1586627855,40.37,71,6,7.11,39.27,141.88
puerto quijarro,BO,1586627856,92.34,37,0,2.19,-17.78,-57.77
pangnirtung,CA,1586627856,21.2,67,40,2.24,66.15,-65.71
nekhayevskiy,RU,1586627856,39.99,71,79,8.99,50.41,41.76
batemans bay,AU,1586627857,37.99,87,9,9.4,-35.72,150.18
kyaiklat,MM,1586627857,80.6,78,20,8.05,16.43,95.73
kirakira,SB,1586627314,80.55,80,98,6.55,-10.45,161.92
sao miguel do araguaia,BR,1586627352,84.94,64,27,4.9,-13.28,-50.16
anchorage,US,1586627858,28.99,53,1,4.7,61.22,-149.9
camocim,BR,1586627859,83.21,84,97,6.31,-2.9,-40.84
vanavara,RU,1586627859,26.87,94,21,3.8,60.34,102.28
lanxi,CN,1586627859,49.93,84,99,3.78,29.22,119.48
poshekhonye,RU,1586627860,29.39,89,38,3.27,58.5,39.14
tiznit,MA,1586627348,62.62,60,100,7.76,29.58,-9.5
wahpeton,US,1586627860,45.0,55,100,20.8,46.27,-96.61
cattolica,IT,1586627861,66.2,51,0,4.7,43.96,12.74
sebastian,US,1586627861,69.8,42,1,9.75,35.17,-94.27
ust-tsilma,RU,1586627861,18.7,94,63,2.89,65.44,52.15
capanema,BR,1586627861,83.39,83,68,6.44,-1.2,-47.18
penzance,GB,1586627862,64.4,63,76,2.24,50.12,-5.54
maumere,ID,1586627333,79.29,73,25,2.64,-8.62,122.21
avanigadda,IN,1586627862,79.66,80,0,8.1,16.02,80.92
ostrovnoy,RU,1586627360,16.47,94,73,11.01,68.05,39.51
vao,NC,1586627863,75.76,76,13,13.82,-22.67,167.48
la ronge,CA,1586627329,15.8,61,75,17.22,55.1,-105.28
korla,CN,1586627298,58.8,21,17,3.67,41.76,86.15
synya,RU,1586627318,17.69,95,85,2.73,65.37,58.04
el dorado,US,1586627593,68.0,45,1,6.93,33.21,-92.67
kununurra,AU,1586627345,78.8,78,90,3.36,-15.77,128.73
mamakan,RU,1586627865,39.38,78,97,3.94,57.82,114.0
mount isa,AU,1586627339,71.6,18,25,10.29,-20.73,139.5
grand baie,MU,1586627866,78.01,73,75,13.87,-20.02,57.58
mastic beach,US,1586627866,52.0,31,20,16.11,40.77,-72.85
dovers,VC,1586627866,86.0,62,20,5.82,12.88,-61.18
kamarion,GR,1586627867,62.6,59,0,11.41,36.8,25.82
anuradhapura,LK,1586627867,77.18,83,2,5.28,8.36,80.42
sembakung,ID,1586627667,74.97,91,9,1.92,3.82,117.25
keetmanshoop,NA,1586627868,87.8,12,0,12.75,-26.58,18.13
aquidauana,BR,1586627868,90.46,34,1,3.49,-20.47,-55.79
ngara,TZ,1586627868,59.92,64,90,3.31,-2.51,30.66
talaya,RU,1586627869,12.69,88,100,0.72,61.38,152.75
verkhnyaya inta,RU,1586627869,15.4,94,57,4.85,65.98,60.31
manyana,BW,1586627869,72.1,34,51,5.17,-23.4,21.72
kruisfontein,ZA,1586627313,64.45,55,100,2.82,-34.0,24.73
swan hill,AU,1586627870,49.37,71,0,7.74,-35.34,143.55
qaqortoq,GL,1586627870,53.6,23,75,19.46,60.72,-46.03
guarda,PT,1586627846,59.0,84,94,5.01,40.54,-7.27
pandan,PH,1586627354,80.49,77,18,5.55,14.05,124.17
tutoia,BR,1586627871,91.4,66,40,14.99,-2.76,-42.27
shimoda,JP,1586627347,52.0,86,100,3.51,34.67,138.95
hlucin,CZ,1586627872,57.0,46,77,5.82,49.9,18.19
comodoro rivadavia,AR,1586627317,60.8,38,20,13.87,-45.87,-67.5
pompeia,BR,1586627873,77.92,46,7,2.08,-22.11,-50.17
zhezkazgan,KZ,1586627873,46.2,47,53,10.63,47.8,67.71
morant bay,JM,1586627873,87.8,66,20,12.75,17.88,-76.41
kangaatsiaq,GL,1586627874,30.49,87,88,0.63,68.31,-53.46
alekseyevka,RU,1586627874,41.43,64,81,7.99,50.63,38.69
port-gentil,GA,1586627346,80.49,80,99,10.78,-0.72,8.78
pastavy,BY,1586627875,37.58,68,8,5.57,55.12,26.83
beruwala,LK,1586627353,81.63,76,7,1.86,6.48,79.98
canico,PT,1586627876,64.4,68,75,12.75,32.63,-16.85
karratha,AU,1586627308,81.86,57,0,9.73,-20.74,116.85
okhotsk,RU,1586627350,24.75,96,97,1.7,59.38,143.3
udachnyy,RU,1586627348,28.4,63,90,6.71,66.42,112.4
avera,US,1586627877,71.01,22,1,10.29,33.19,-82.53
lakes entrance,AU,1586627305,53.01,66,80,3.0,-37.88,147.98
sidi ali,DZ,1586627877,61.65,65,80,11.01,36.1,0.42
nizhniy tsasuchey,RU,1586627878,44.55,36,0,4.76,50.52,115.13
sterling,US,1586627878,60.01,30,40,16.11,39.01,-77.43
barahona,DO,1586627878,89.6,55,75,18.34,18.21,-71.1
svetlogorsk,BY,1586627879,38.08,66,10,7.0,52.63,29.73
kettering,US,1586627813,60.01,40,90,9.17,39.69,-84.17
grindavik,IS,1586627301,48.2,80,20,20.8,63.84,-22.43
sisimiut,GL,1586627358,35.8,81,100,5.3,66.94,-53.67
liverpool,GB,1586627819,66.0,77,19,11.41,53.41,-2.98
melk,AT,1586627880,64.4,34,27,6.93,48.23,15.33
rio gallegos,AR,1586627881,53.6,60,75,27.51,-51.62,-69.22
chor,PK,1586627881,92.68,20,93,12.08,25.52,69.77
touros,BR,1586627325,87.8,66,20,13.87,-5.2,-35.46
nouadhibou,MR,1586627327,77.0,53,0,20.8,20.93,-17.03
tagcatong,PH,1586627882,75.18,75,0,4.09,9.0,125.26
khanpur,PK,1586627882,88.48,24,88,3.51,28.65,70.66
orocue,CO,1586627883,91.35,48,48,6.71,4.79,-71.34
